	id_account	name.3	period	title.3	description.3	Cidade_dos_seguidores	valor	extract_date	period_extraction	year	day	id_tb_midia
47	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Seyitgazi, Eskişehir Province		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
48	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Grand Rapids, Michigan	8.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
49	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Grand Rapids, Michigan		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
50	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Guarulhos, São Paulo (state)	9.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
51	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Guarulhos, São Paulo (state)	6.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
52	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Las Vegas, Nevada	10.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
53	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Las Vegas, Nevada		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
54	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Adıyaman, Niğde Province	8.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
55	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Adıyaman, Niğde Province		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
56	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.El Monte, California	8.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
57	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.El Monte, California		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
58	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Topeka, Kansas	19.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
59	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Topeka, Kansas		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
60	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Konya, Konya Province	17.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
61	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Konya, Konya Province		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
62	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Araruna, Paraná	36.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
63	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Araruna, Paraná		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
64	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Sivrihisar, Eskişehir Province	8.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
65	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Sivrihisar, Eskişehir Province		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
66	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Junction City, Kansas	18.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
67	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Junction City, Kansas		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
68	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Eskipazar, Karabük Province	9.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
69	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Eskipazar, Karabük Province		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
70	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Cape Town, Western Cape	14.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
71	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Cape Town, Western Cape		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
72	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Sincanköy, Ankara Province	42.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
73	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Sincanköy, Ankara Province		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
74	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Qom, Markazi Province	9.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
75	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Qom, Markazi Province		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
76	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.New York, New York	45.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
77	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.New York, New York	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
78	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Beach Park, Illinois	8.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
79	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Beach Park, Illinois		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
80	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Fort Wayne, Indiana	9.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
81	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Fort Wayne, Indiana		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
82	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Belo Horizonte, Minas Gerais	9.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
83	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Belo Horizonte, Minas Gerais		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
84	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Mahmudiye, Eskişehir Province	20.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
85	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Mahmudiye, Eskişehir Province		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
86	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Belém, Pará	14.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
87	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Belém, Pará		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
88	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Çifteler, Eskişehir Province	17.0	2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
89	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Çifteler, Eskişehir Province		2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
90	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Planaltina, Goiás		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
91	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Planaltina, Goiás	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
92	17841425444516188	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Ribeirão Prêto, São Paulo (state)		2024-05-20	05	2024	20	1784142544451618820240520audience_citylifetime
93	17841417530400616	audience_city	lifetime	Cidade do público	Cidades dos seguidores deste perfil	value.Ribeirão Prêto, São Paulo (state)	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_citylifetime
