	id_account	name.1	period	title.1	description.1	localizacao_pais	valor	extract_date	period_extraction	year	day	id_tb_midia
55	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.mk_MK		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
56	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.en_IE	10.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
57	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.en_IE		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
58	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.fi_FI	1.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
59	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.fi_FI		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
60	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.es_HN	1.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
61	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.es_HN		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
62	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.en_GB	4.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
63	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.en_GB		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
64	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.en_US	296.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
65	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.en_US	10.0	2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
66	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.lv_LV	2.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
67	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.lv_LV		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
68	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.en_IN	2.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
69	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.en_IN		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
70	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.kk_KZ	1.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
71	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.kk_KZ		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
72	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.zh_CN	1.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
73	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.zh_CN		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
74	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.ar_AE	1.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
75	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.ar_AE		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
76	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.pt_PT	10.0	2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
77	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.pt_PT		2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
78	17841425444516188	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.es_LA		2024-05-20	05	2024	20	1784142544451618820240520audience_localelifetime
79	17841417530400616	audience_locale	lifetime	Localização	Localidades por códigos de país dos seguidores deste perfil	value.es_LA	1.0	2024-05-20	05	2024	20	1784141753040061620240520audience_localelifetime
