	id	name	period	title	description	value	extract_date	period_extraction	year	day	id_tb_midias
49	17869447275058315	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	81	2024-05-20	05	2024	20	1786944727505831520240520impressionslifetime
50	17869447275058315	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	79	2024-05-20	05	2024	20	1786944727505831520240520reachlifetime
51	17869447275058315	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	1	2024-05-20	05	2024	20	1786944727505831520240520savedlifetime
52	18030343753699664	reach	lifetime	Contas alcançadas	O número de contas únicas que viram este reel pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações do seu reel pelas mesmas contas. Esta métrica é estimada.	108	2024-05-20	05	2024	20	1803034375369966420240520reachlifetime
53	18030343753699664	saved	lifetime	Salvo	O número de vezes que seu reel foi salvo.	1	2024-05-20	05	2024	20	1803034375369966420240520savedlifetime
54	18012618164496765	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1801261816449676520240520taps_forwardlifetime
55	18012618164496765	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1801261816449676520240520taps_backlifetime
56	18012618164496765	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1801261816449676520240520exitslifetime
57	18012618164496765	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1801261816449676520240520replieslifetime
58	18012618164496765	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	9	2024-05-20	05	2024	20	1801261816449676520240520engagementlifetime
59	18012618164496765	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1801261816449676520240520video_viewslifetime
60	18012618164496765	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	69	2024-05-20	05	2024	20	1801261816449676520240520impressionslifetime
61	18012618164496765	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	66	2024-05-20	05	2024	20	1801261816449676520240520reachlifetime
62	18012618164496765	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	2	2024-05-20	05	2024	20	1801261816449676520240520savedlifetime
63	18020150257990451	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1802015025799045120240520taps_forwardlifetime
64	18020150257990451	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1802015025799045120240520taps_backlifetime
65	18020150257990451	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1802015025799045120240520exitslifetime
66	18020150257990451	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1802015025799045120240520replieslifetime
67	18020150257990451	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	6	2024-05-20	05	2024	20	1802015025799045120240520engagementlifetime
68	18020150257990451	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1802015025799045120240520video_viewslifetime
69	18020150257990451	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	59	2024-05-20	05	2024	20	1802015025799045120240520impressionslifetime
70	18020150257990451	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	50	2024-05-20	05	2024	20	1802015025799045120240520reachlifetime
71	18020150257990451	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	1	2024-05-20	05	2024	20	1802015025799045120240520savedlifetime
72	18024592819898084	impressions	lifetime	Impressões	Número total de vezes que o objeto de mídia foi visto	97	2024-05-20	05	2024	20	1802459281989808420240520impressionslifetime
73	18024592819898084	reach	lifetime	Alcance	Número total de contas únicas que viram o objeto de mídia	80	2024-05-20	05	2024	20	1802459281989808420240520reachlifetime
74	18024592819898084	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1802459281989808420240520taps_forwardlifetime
75	18024592819898084	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1802459281989808420240520taps_backlifetime
76	18024592819898084	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1802459281989808420240520exitslifetime
77	18024592819898084	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1802459281989808420240520replieslifetime
78	18024592819898084	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	20	2024-05-20	05	2024	20	1802459281989808420240520engagementlifetime
79	18024592819898084	saved	lifetime	Salvos	Número total de contas únicas que salvaram o objeto de mídia	2	2024-05-20	05	2024	20	1802459281989808420240520savedlifetime
80	18024592819898084	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1802459281989808420240520video_viewslifetime
