	id	id_midia	id_account	comments_count	like_count	extract_date	period	year	day
87	17959315073184315178414254445161882024525	17959315073184315	17841425444516188	2	9	2024-05-25	5	2024	25
88	17882491601719459178414254445161882024525	17882491601719459	17841425444516188	0	10	2024-05-25	5	2024	25
89	17858477921823537178414254445161882024525	17858477921823537	17841425444516188	0	8	2024-05-25	5	2024	25
90	17990323756717997178414254445161882024525	17990323756717997	17841425444516188	0	4	2024-05-25	5	2024	25
91	17946312491417976178414254445161882024525	17946312491417976	17841425444516188	1	7	2024-05-25	5	2024	25
92	17998050277570171178414254445161882024525	17998050277570171	17841425444516188	0	5	2024-05-25	5	2024	25
93	18226663675081792178414254445161882024525	18226663675081792	17841425444516188	0	5	2024-05-25	5	2024	25
94	17877950102736621178414254445161882024525	17877950102736621	17841425444516188	0	8	2024-05-25	5	2024	25
95	18221211739167519178414254445161882024525	18221211739167519	17841425444516188	0	8	2024-05-25	5	2024	25
96	17945375882417545178414254445161882024525	17945375882417545	17841425444516188	0	9	2024-05-25	5	2024	25
97	17974769974769563178414254445161882024525	17974769974769563	17841425444516188	0	8	2024-05-25	5	2024	25
98	17961285041137957178414254445161882024525	17961285041137957	17841425444516188	1	8	2024-05-25	5	2024	25
99	17931701453556758178414254445161882024525	17931701453556758	17841425444516188	1	9	2024-05-25	5	2024	25
100	17972200513936539178414254445161882024525	17972200513936539	17841425444516188	1	9	2024-05-25	5	2024	25
101	18337501048046447178414254445161882024525	18337501048046447	17841425444516188	0	9	2024-05-25	5	2024	25
102	18014406560219838178414175304006162024525	18014406560219838	17841417530400616	5	21	2024-05-25	5	2024	25
103	18036730186652355178414175304006162024525	18036730186652355	17841417530400616	1	27	2024-05-25	5	2024	25
104	17926144523730968178414175304006162024525	17926144523730968	17841417530400616	2	25	2024-05-25	5	2024	25
105	17952648479723484178414175304006162024525	17952648479723484	17841417530400616	3	22	2024-05-25	5	2024	25
106	18012911482864852178414175304006162024525	18012911482864852	17841417530400616	2	34	2024-05-25	5	2024	25
107	18015261277785871178414175304006162024525	18015261277785871	17841417530400616	3	28	2024-05-25	5	2024	25
108	18213009469271569178414175304006162024525	18213009469271569	17841417530400616	1	17	2024-05-25	5	2024	25
109	17874981800973868178414175304006162024525	17874981800973868	17841417530400616	3	12	2024-05-25	5	2024	25
110	18316677496102466178414175304006162024525	18316677496102466	17841417530400616	1	23	2024-05-25	5	2024	25
111	18049683463435392178414175304006162024525	18049683463435392	17841417530400616	2	15	2024-05-25	5	2024	25
112	17993063657129058178414175304006162024525	17993063657129058	17841417530400616	4	35	2024-05-25	5	2024	25
113	18026225206521222178414175304006162024525	18026225206521222	17841417530400616	1	19	2024-05-25	5	2024	25
114	18242719579162133178414175304006162024525	18242719579162133	17841417530400616	1	34	2024-05-25	5	2024	25
115	17960339570278289178414175304006162024525	17960339570278289	17841417530400616	7	18	2024-05-25	5	2024	25
116	17974803809001845178414175304006162024525	17974803809001845	17841417530400616	2	22	2024-05-25	5	2024	25
117	17960786498151110178414175304006162024525	17960786498151110	17841417530400616	1	20	2024-05-25	5	2024	25
118	17961863900260865178414175304006162024525	17961863900260865	17841417530400616	0	6	2024-05-25	5	2024	25
119	18013823218506209178414175304006162024525	18013823218506209	17841417530400616	4	13	2024-05-25	5	2024	25
120	17911611266690525178414175304006162024525	17911611266690525	17841417530400616	4	12	2024-05-25	5	2024	25
121	17948212469455957178414175304006162024525	17948212469455957	17841417530400616	1	22	2024-05-25	5	2024	25
122	18196692265234329178414175304006162024525	18196692265234329	17841417530400616	1	26	2024-05-25	5	2024	25
123	17853242561859491178414175304006162024525	17853242561859491	17841417530400616	1	18	2024-05-25	5	2024	25
124	17916065960527094178414175304006162024525	17916065960527094	17841417530400616	1	9	2024-05-25	5	2024	25
125	18000610999480101178414175304006162024525	18000610999480101	17841417530400616	1	13	2024-05-25	5	2024	25
126	18321807307026238178414175304006162024525	18321807307026238	17841417530400616	2	13	2024-05-25	5	2024	25
127	17926991318529061178414175304006162024525	17926991318529061	17841417530400616	1	18	2024-05-25	5	2024	25
128	17940026405371937178414175304006162024525	17940026405371937	17841417530400616	0	24	2024-05-25	5	2024	25
129	17947981679145249178414175304006162024525	17947981679145249	17841417530400616	1	7	2024-05-25	5	2024	25
130	17932358189417551178414175304006162024525	17932358189417551	17841417530400616	1	23	2024-05-25	5	2024	25
131	18187036339169530178414175304006162024525	18187036339169530	17841417530400616	1	7	2024-05-25	5	2024	25
132	18236981563139978178414175304006162024525	18236981563139978	17841417530400616	0	12	2024-05-25	5	2024	25
133	17953264603846727178414175304006162024525	17953264603846727	17841417530400616	1	10	2024-05-25	5	2024	25
