	id	id_midia	id_insight	extract_date	period_extraction	year	day	definicao	value
34	17912491130893668152024525	17912491130893668	15	2024-05-25	5	2024	25	replies	0
35	1791249113089366862024525	17912491130893668	6	2024-05-25	5	2024	25	engagement	7
36	17912491130893668202024525	17912491130893668	20	2024-05-25	5	2024	25	video_views	0
37	17912491130893668102024525	17912491130893668	10	2024-05-25	5	2024	25	impressions	71
38	17912491130893668142024525	17912491130893668	14	2024-05-25	5	2024	25	reach	68
39	17912491130893668162024525	17912491130893668	16	2024-05-25	5	2024	25	saved	1
40	18020750125974446182024525	18020750125974446	18	2024-05-25	5	2024	25	taps_forward	0
41	18020750125974446172024525	18020750125974446	17	2024-05-25	5	2024	25	taps_back	0
42	1802075012597444672024525	18020750125974446	7	2024-05-25	5	2024	25	exits	0
43	18020750125974446152024525	18020750125974446	15	2024-05-25	5	2024	25	replies	0
44	1802075012597444662024525	18020750125974446	6	2024-05-25	5	2024	25	engagement	8
45	18020750125974446202024525	18020750125974446	20	2024-05-25	5	2024	25	video_views	0
46	18020750125974446102024525	18020750125974446	10	2024-05-25	5	2024	25	impressions	77
47	18020750125974446142024525	18020750125974446	14	2024-05-25	5	2024	25	reach	74
48	18020750125974446162024525	18020750125974446	16	2024-05-25	5	2024	25	saved	1
49	17869447275058315182024525	17869447275058315	18	2024-05-25	5	2024	25	taps_forward	0
50	17869447275058315172024525	17869447275058315	17	2024-05-25	5	2024	25	taps_back	0
51	1786944727505831572024525	17869447275058315	7	2024-05-25	5	2024	25	exits	0
52	17869447275058315152024525	17869447275058315	15	2024-05-25	5	2024	25	replies	0
53	1786944727505831562024525	17869447275058315	6	2024-05-25	5	2024	25	engagement	7
54	17869447275058315202024525	17869447275058315	20	2024-05-25	5	2024	25	video_views	0
55	17869447275058315102024525	17869447275058315	10	2024-05-25	5	2024	25	impressions	81
56	17869447275058315142024525	17869447275058315	14	2024-05-25	5	2024	25	reach	79
57	17869447275058315162024525	17869447275058315	16	2024-05-25	5	2024	25	saved	1
58	18030343753699664142024525	18030343753699664	14	2024-05-25	5	2024	25	reach	108
59	18030343753699664162024525	18030343753699664	16	2024-05-25	5	2024	25	saved	1
60	18012618164496765182024525	18012618164496765	18	2024-05-25	5	2024	25	taps_forward	0
61	18012618164496765172024525	18012618164496765	17	2024-05-25	5	2024	25	taps_back	0
62	1801261816449676572024525	18012618164496765	7	2024-05-25	5	2024	25	exits	0
63	18012618164496765152024525	18012618164496765	15	2024-05-25	5	2024	25	replies	0
64	1801261816449676562024525	18012618164496765	6	2024-05-25	5	2024	25	engagement	9
65	18012618164496765202024525	18012618164496765	20	2024-05-25	5	2024	25	video_views	0
66	18012618164496765102024525	18012618164496765	10	2024-05-25	5	2024	25	impressions	69
