	id_midia	name	period	title	description	id	value	extract_date	period_extraction	year	day	id_tb_midias
6	18020750125974446	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	18020750125974446/insights/impressions/lifetime	77.0	2024-05-25	05	2024	25	1802075012597444620240525impressionslifetime
7	18020750125974446	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	18020750125974446/insights/reach/lifetime	74.0	2024-05-25	05	2024	25	1802075012597444620240525reachlifetime
8	18020750125974446	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	18020750125974446/insights/saved/lifetime	1.0	2024-05-25	05	2024	25	1802075012597444620240525savedlifetime
0	17869447275058315	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	17869447275058315/insights/taps_forward/lifetime	0.0	2024-05-25	05	2024	25	1786944727505831520240525taps_forwardlifetime
1	17869447275058315	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	17869447275058315/insights/taps_back/lifetime	0.0	2024-05-25	05	2024	25	1786944727505831520240525taps_backlifetime
2	17869447275058315	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	17869447275058315/insights/exits/lifetime	0.0	2024-05-25	05	2024	25	1786944727505831520240525exitslifetime
3	17869447275058315	replies	lifetime	Respostas	Número total de respostas ao story	17869447275058315/insights/replies/lifetime	0.0	2024-05-25	05	2024	25	1786944727505831520240525replieslifetime
4	17869447275058315	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	17869447275058315/insights/engagement/lifetime	7.0	2024-05-25	05	2024	25	1786944727505831520240525engagementlifetime
5	17869447275058315	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	17869447275058315/insights/video_views/lifetime	0.0	2024-05-25	05	2024	25	1786944727505831520240525video_viewslifetime
6	17869447275058315	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	17869447275058315/insights/impressions/lifetime	81.0	2024-05-25	05	2024	25	1786944727505831520240525impressionslifetime
7	17869447275058315	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	17869447275058315/insights/reach/lifetime	79.0	2024-05-25	05	2024	25	1786944727505831520240525reachlifetime
8	17869447275058315	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	17869447275058315/insights/saved/lifetime	1.0	2024-05-25	05	2024	25	1786944727505831520240525savedlifetime
0	18030343753699664	reach	lifetime	Contas alcançadas	O número de contas únicas que viram este reel pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações do seu reel pelas mesmas contas. Esta métrica é estimada.	18030343753699664/insights/reach/lifetime	108.0	2024-05-25	05	2024	25	1803034375369966420240525reachlifetime
1	18030343753699664	saved	lifetime	Salvo	O número de vezes que seu reel foi salvo.	18030343753699664/insights/saved/lifetime	1.0	2024-05-25	05	2024	25	1803034375369966420240525savedlifetime
0	18012618164496765	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	18012618164496765/insights/taps_forward/lifetime	0.0	2024-05-25	05	2024	25	1801261816449676520240525taps_forwardlifetime
1	18012618164496765	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	18012618164496765/insights/taps_back/lifetime	0.0	2024-05-25	05	2024	25	1801261816449676520240525taps_backlifetime
2	18012618164496765	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	18012618164496765/insights/exits/lifetime	0.0	2024-05-25	05	2024	25	1801261816449676520240525exitslifetime
3	18012618164496765	replies	lifetime	Respostas	Número total de respostas ao story	18012618164496765/insights/replies/lifetime	0.0	2024-05-25	05	2024	25	1801261816449676520240525replieslifetime
4	18012618164496765	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	18012618164496765/insights/engagement/lifetime	9.0	2024-05-25	05	2024	25	1801261816449676520240525engagementlifetime
5	18012618164496765	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	18012618164496765/insights/video_views/lifetime	0.0	2024-05-25	05	2024	25	1801261816449676520240525video_viewslifetime
6	18012618164496765	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	18012618164496765/insights/impressions/lifetime	69.0	2024-05-25	05	2024	25	1801261816449676520240525impressionslifetime
